x,y, , 
91.0357392954266,96.1396049952811, , 
182.000806906432,87.8531820763995, , 
365.190787045408,89.9232835802646, , 
727.213421821012,57.7600068527005, , 
1446.92518429751,51.1278573446578, , 
2877.10289802214,40.6920513740272, , 
5748.79239649601,37.4857278269993, , 
11400.5616196837,26.9714577687782, , 
22845.9854187775,18.1917820518724, , 
179903.294048436,5.52911109952682, , 
357596.442722595,3.54370048020821, , 
715443.099396375,2.56421508038919, , 
1425428.7878077,2.11655554340194, , 
2839370.94909315,1.67371076030087, , 
5670580.17610788,1.39732460789558, , 
89621.5840894177,7.78236887227906, , 
44658.2428235841,11.7291437718129,,
